Id,time,timestep,maxtimestep,icao24,outliers,callsign,heading,baroaltitude,lat,lon,velocity,vertratecorr,baroaltitudeanalysis,dbaroaltitudeanalysis,tasanalysis,dtasanalysis,baroaltitudekalman,taskalman,segment,modeltype,operator,ukalman,vkalman,tempkalman,temp_surfacekalman,temp1000kalman,temp2000kalman,temp3000kalman,temp4000kalman,temp5000kalman,temp6000kalman,temp7000kalman,temp8000kalman,temp9000kalman,temp10000kalman,temp11000kalman,tempanalysis,target_cas1,target_cas2,target_Mach,mseSpeed,n_cas1,n_cas2,n_mach,fromICAO,toICAO,distance_from_dep,trip_distance,massPast,mseEnergyRatePast,massFutur,mseEnergyRateFutur,u,v,temp,tas
26,1504224376,375,1095,226,0.0230414746544,10959,118.750656418,6919.065728,51.9329622073,-0.41987622625,222.411006457,6.82978902296,6922.88634148,6.69705925679,219.268542537,0.0818183904977,6908.21567657,219.049697763,378178,3,36,5.38990099333,3.18975716398,239.934641569,286.63049148,232.522056776,225.817339108,223.472588982,224.719833628,227.014674772,226.004288738,225.161843525,224.48665345,223.909962954,223.10144746,222.302110041,239.822539121,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,107470,2.39534e+06,77772.5,1.84211,75546.9,3.11522,5.4064483706,3.20157746388,239.85171543,219.27769646
27,1504224391,390,1095,226,0.0230414746544,10959,112.17984424,7025.66281453,51.9200116855,-0.375891777613,224.166081277,6.33967745178,7022.3814831,6.53721968844,220.442573971,0.0742599829436,7014.38658512,220.130138906,378178,3,36,5.69684854741,3.47148408318,239.148060111,286.677945336,231.806055988,225.163344953,223.340001503,225.011454698,226.904838428,225.907173265,225.083208382,224.417529683,223.848963004,223.00410693,222.216786972,239.087718747,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,110784,2.39534e+06,77578.4,2.05205,75401.5,3.15552,5.71384996642,3.48404281063,239.062968874,220.256111832
28,1504224406,405,1095,226,0.0230414746544,10959,111.947614636,7109.55107634,51.9087208471,-0.330591595715,225.738921329,6.17728,7120.06591454,6.57666667038,221.450913059,0.0588782257172,7103.04316214,221.429621506,378178,3,36,5.97453776417,3.73852741656,238.502767228,286.727375559,231.221617402,224.622646044,223.216927775,225.254343488,226.814604104,225.826721489,225.017932399,224.360159992,223.798346201,222.923151249,222.1453207,238.37572521,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,114076,2.39534e+06,77735.8,2.32818,75254.4,3.09998,5.98428470562,3.74595287838,238.454168999,221.662010791
29,1504224421,420,1095,226,0.0230414746544,10959,112.309294609,7223.76762708,51.8974117082,-0.285641323929,226.31911218,7.04379689186,7219.40689897,6.54110911312,222.269899692,0.0553332204264,7211.88207248,221.983321674,378178,3,36,6.30237894033,4.0606315299,237.709065374,286.775881605,230.494176205,224.198112535,223.065533632,225.559817518,226.703611117,225.728415472,224.939006674,224.291183251,223.723076903,222.826195102,222.060154205,237.651705081,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,117352,2.39534e+06,77836.8,2.15753,75093.1,2.96642,6.33065827355,4.08713190542,237.618486743,222.099934447
30,1504224436,435,1095,226,0.0230414746544,10959,112.450557558,7315.2,51.8856306934,-0.238788049495,227.662250264,5.2027328186,7313.35650415,5.9987159246,223.224563421,0.0718222924358,7305.44412072,222.87260797,378178,3,36,6.66122865908,4.44013821077,237.022272216,286.826020204,229.876394181,224.089523472,222.920856756,225.822557679,226.609732693,225.644429469,224.871444986,224.231904206,223.628151664,222.742605344,221.986246261,236.962684331,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,120770,2.39534e+06,77800.7,2.15452,74925,2.87566,6.68350922345,4.46138683418,236.948808812,223.288840816
31,1504224451,450,1095,226,0.0230414746544,10959,112.590162629,7399.02,51.8738708496,-0.193522685283,229.006756003,5.85216,7401.5015274,5.80413062281,224.354669726,0.0765411224948,7389.26425917,224.258771245,378178,3,36,6.97711542732,4.78497375097,236.416693142,286.873691951,229.327534632,223.985004201,222.899986559,226.05997328,226.526369696,225.569367885,224.811151811,224.178886709,223.543422483,222.667756337,221.919836066,236.32556078,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,124098,2.39534e+06,77785.5,2.15428,74758.5,2.77819,6.99853097012,4.80575468644,236.344030618,224.504350058
32,1504224466,465,1095,226,0.0230414746544,10959,112.492277741,7490.4980628,51.8621475497,-0.148070980401,229.958028932,5.85216,7487.11933677,5.55974137995,225.500125698,0.0759674521874,7481.65146082,225.001511092,378178,3,36,7.2967089963,5.14052892686,235.755573418,286.921124445,228.723087641,223.861897193,223.167559028,226.325314807,226.434572599,225.486949898,224.745531432,224.121384413,223.451421276,222.586631267,221.842283007,235.715321592,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,127437,2.39534e+06,77938.9,2.14604,74622.2,2.68675,7.31535017941,5.15893904701,235.69046177,225.299792028
33,1504224481,480,1095,226,0.0230414746544,10959,112.605201326,7566.72796876,51.8504296063,-0.101737020417,231.539401334,4.22656,7569.15488935,5.50744217918,226.585816584,0.0656157675436,7560.85296979,226.305263457,378178,3,36,7.57592452885,5.46358717792,235.199732869,286.969153703,228.210885211,223.74862905,223.39391769,226.554782584,226.356667633,225.416198374,224.689301626,224.071968687,223.372484839,222.516560307,221.769152508,235.139264344,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,130830,2.39534e+06,78070.8,1.9187,74483.5,2.53453,7.58781818223,5.47554786012,235.156935247,226.7793468
34,1504224496,495,1095,226,0.0230414746544,10959,112.649127346,7650.48775911,51.8382435956,-0.0546232985822,232.449573085,6.50250854639,7656.79496288,6.24723049806,227.378277401,0.0399817754747,7641.69356238,227.441881979,378178,3,36,7.84697776442,5.78592680416,234.639214572,287.017335956,227.690111471,223.625962339,223.628999959,226.7919702,226.277346941,225.346955298,224.632287832,224.021879074,223.292439087,222.445437627,221.695729118,234.530432857,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,134298,2.39534e+06,77835.7,1.74479,74343.8,2.26892,7.86405467044,5.80342465204,234.575843111,227.581305177
35,1504224511,510,1095,226,0.0230414746544,10959,112.76600332,7757.16761184,51.826140231,-0.00861809111975,232.648637045,6.5024,7754.71858417,6.64906003496,227.86942147,0.0295261287041,7745.45398735,227.557425233,378178,3,36,8.1449072181,6.14210575514,233.9216651,287.063700066,227.01925664,223.464072187,223.946477573,227.09886007,226.175212577,225.264830058,224.560814571,223.959503836,223.192318482,222.357176285,221.605777686,233.855789714,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,137699,2.39534e+06,77703.9,1.80018,,,8.16667205844,6.16482578715,233.838387906,227.67566694
36,1504224526,525,1095,226,0.0230414746544,10959,112.717124708,7856.22,51.8140838106,0.0385284423828,233.122613104,5.85216,7851.1732188,6.0665839084,228.369539911,0.0407407603561,7846.04203657,228.061168327,378178,3,36,8.38453814583,6.45519056473,233.228872722,287.105497691,226.373803597,223.311227859,224.268288841,227.143948664,226.071749854,225.17985184,224.488921073,223.898786204,223.094990065,222.269778227,221.516802263,233.192809956,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,141167,2.39534e+06,77493.2,2.62133,,,8.40259107182,6.47445969514,233.157361426,228.058524143
37,1504224541,540,1095,226,0.0230414746544,10959,112.760294665,7940.04,51.8016985435,0.0861431812114,234.03388284,5.03887280375,7935.91956768,5.31913039329,229.118289928,0.0569479349745,7930.16890003,228.653805613,378178,3,36,8.57261755986,6.72443646303,232.657112193,287.146128095,225.842225896,223.180066009,224.537782408,227.050286892,225.983115823,225.107067999,224.427887817,223.847789307,223.012500248,222.194689791,221.441017589,232.617087947,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,144683,2.39534e+06,77346.3,2.4211,,,8.58934052023,6.74271297766,232.588426573,228.920878673
38,1504224556,555,1095,226,0.0230414746544,10959,112.904839025,8016.24,51.7895956416,0.132300376013,235.279298637,5.43400251206,8014.84424148,5.34590128733,229.973071627,0.0534799552683,8005.65027656,229.900883055,378178,3,36,8.73328625118,6.96861310492,232.150037374,287.185210554,225.370850959,223.05790167,224.779226654,226.965906715,225.902716153,225.042054731,224.373471877,223.802424714,222.938172012,222.126716496,221.373197636,232.086616241,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,148100,2.39534e+06,77082.7,2.78965,,,8.75045068778,6.98781531644,232.076994095,230.149027553
39,1504224571,570,1095,226,0.0230414746544,10959,112.936519022,8092.44,51.7771213338,0.180206298828,236.291695091,5.52704,8098.63117963,5.83382823355,230.663042139,0.037660331213,8084.11425764,230.867524499,378178,3,36,8.88972374192,7.2168600207,231.627539034,287.225707294,224.885222146,222.927195119,225.030481187,226.877596724,225.818706982,224.975583889,224.317892923,223.756148692,222.861226691,222.056339291,221.303778469,231.528334472,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,151642,2.39534e+06,76648.8,2.69378,,,8.90261266687,7.23163831991,231.570622569,231.133260805
40,1504224586,585,1095,226,0.0230414746544,10959,112.821542186,8191.5076809,51.7651053612,0.226113687916,236.091685962,5.85199737045,8186.68970597,5.69749097136,231.185359264,0.0390401965423,8180.66483327,230.928981431,378178,3,36,9.03374628427,7.50587449176,230.966356103,287.264217371,224.366324854,222.766296499,225.341448072,226.768102341,225.717010646,224.897961547,224.252760319,223.7012099,222.769322589,221.973382934,221.222844963,230.92370764,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,155043,2.39534e+06,76459,2.71388,,,9.04505581679,7.52792574657,230.889624248,230.910937265
41,1504224601,600,1095,226,0.0230414746544,10959,112.863826838,8267.72281453,51.7525615578,0.273997227696,237.002711109,4.8768,8264.63844869,4.62467252331,231.995401348,0.0703983507664,8259.48352962,231.504144538,378178,3,36,9.13890368429,7.76673639035,230.4269722,287.304259227,224.244829126,222.627541605,225.593083169,226.678404488,225.631917782,224.833599612,224.199030563,223.617006428,222.692751036,221.903329923,221.15537884,230.390811548,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,158592,2.39534e+06,76248.7,2.42135,,,9.14717866596,7.78314543659,230.369185898,231.846528523
42,1504224616,615,1095,226,0.0230414746544,10959,113.019795754,8328.66,51.7401123047,0.321273803711,238.114227438,3.49808388675,8325.82593165,3.66223318274,233.284787239,0.0983300878039,8321.64806282,232.655648186,378178,3,36,9.2222769168,7.98805205777,230.008161822,287.343534354,224.147918507,222.511160083,225.790377584,226.606996105,225.562600617,224.78166668,224.155922698,223.549702748,222.630674238,221.845717489,221.100620583,229.979062932,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,162101,2.39534e+06,76168.8,2.34924,,,9.22907351214,8.00175368786,229.959331802,233.007692205
43,1504224631,630,1095,226,0.0230414746544,10959,113.089720633,8382.,51.7275186338,0.369173438013,240.056164929,3.57632,8380.50587305,3.84668312512,234.726147367,0.0853988070719,8374.63393693,234.506270328,378178,3,36,9.29356032221,8.18868715165,229.656014563,287.383168855,224.063838787,222.467779169,225.958064271,226.545331117,225.501550419,224.736459043,224.118608993,223.491516021,222.576324796,221.794645533,221.052677773,229.615369424,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,165658,2.39534e+06,75696.4,2.7406,,,9.30045639301,8.2028202982,229.605031688,234.984401177
44,1504224646,645,1095,226,0.0230414746544,10959,113.118321892,8442.96,51.7149751882,0.416316464321,241.085496148,4.87906676314,8446.90848153,5.11502799112,235.63481316,0.0313508318162,8433.51302224,235.886754123,378178,3,36,9.36666953769,8.39531454051,229.265178587,287.42185079,223.966148782,222.664473354,226.14518371,226.476462008,225.434515655,224.68803478,224.078538934,223.427580514,222.517138894,221.739516343,221.001306428,229.173126765,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,169168,2.39534e+06,75371.4,2.77582,,,9.37520939329,8.41309932883,229.200245011,236.042744034
45,1504224661,660,1095,226,0.0230414746544,10959,113.053701242,8534.51261161,51.7021077724,0.465172483594,240.410530186,6.17247523783,8532.28261174,6.08149092443,235.733475391,-0.00964370650624,8525.44217177,235.610588941,378178,3,36,9.46619514496,8.66221820608,228.652162116,287.461894297,223.806017861,222.983694211,226.43845136,226.369866578,225.335025624,224.618546139,224.020574384,223.331277198,222.430141443,221.654182155,220.927889635,228.605639949,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,172800,2.39534e+06,75611.9,2.604,,,9.47407705637,8.67890156324,228.590481786,235.382424839
46,1504224676,675,1095,226,0.0230414746544,10959,113.053701242,8625.84766544,51.6894162621,0.512926957297,240.410530186,6.8278470588,8624.65132394,6.11455545123,235.566014721,-0.00835086019082,8614.83262261,235.432692967,378178,3,36,9.55789257127,8.91585087581,228.062417258,287.500716496,223.646218951,223.293872134,226.72241346,226.265941241,225.239374865,224.552207829,223.965287622,223.238092249,222.345915045,221.571845549,220.857525297,227.996347426,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,176357,2.39534e+06,75283.6,2.07619,,,9.56710257814,8.93565131855,227.988302552,235.411057009
47,1504224691,690,1095,226,0.0230414746544,10959,113.053701242,8717.28,51.676748604,0.560778329207,240.410530186,4.9849383284,8712.26511579,5.52345387031,235.551112667,0.00653242100422,8707.52567058,235.434154249,378178,3,36,9.64769569414,9.16922247307,227.456802987,287.53946371,223.476505043,223.615897356,227.015511053,226.158150221,225.159133936,224.485088942,223.909376478,223.142283727,222.259439584,221.488308157,220.78607466,227.425247474,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,179921,2.39534e+06,74984.3,2.72422,,,9.65554387614,9.18635337279,227.391877524,235.441467276
48,1504224706,705,1095,226,0.0230414746544,10959,113.16641995,8785.86762708,51.663893966,0.609298568389,240.612448845,5.55211847161,8792.01137174,5.19813940087,235.728972094,0.0153969021024,8780.00730105,235.660706022,378178,3,36,9.71749101228,9.38271738869,226.991238762,287.578567956,223.339890591,223.863952121,227.244110355,226.072304062,225.094734167,224.431552938,223.865119387,223.066070434,222.189635297,221.421064215,220.728476755,226.912026195,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,183537,2.39534e+06,75168,2.90896,,,9.72203973601,9.39279595656,226.952553368,235.699069475
49,1504224721,720,1095,226,0.0230414746544,10959,113.222938147,8869.72572032,51.6514716998,0.655919177222,240.714330114,5.52704,8869.07438886,5.06799197419,235.960760373,0.0136939960406,8863.27165553,235.761687107,378178,3,36,9.79165907451,9.60621741649,226.458426476,287.615838527,223.180376608,224.151779443,227.156652428,225.97455864,225.024195882,224.372740369,223.816321937,222.980235982,222.111799627,221.347199631,220.665167689,226.420495529,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,187016,2.39534e+06,74909.8,3.05546,,,9.79649117096,9.61707387085,226.416239595,235.845908456
